season,race_round,n,rmse,mae
2023,20,1089.0,2.336564665191455,0.8895662686896668
2024,12,960.0,2.3538944837033364,1.4054935561607016
2023,9,1352.0,2.421246762254673,0.9929229522920225
2020,2,1225.0,2.464370670196347,1.0104137605687749
2022,11,1323.0,2.589740905952423,1.1020213074098475
2021,1,1018.0,2.6254451687693114,1.1814456995806983
2021,17,1044.0,2.6572631701424476,1.1072126347796174
2024,17,952.0,2.7050753226567337,0.9313256733553792
2023,6,1512.0,2.705288896682016,1.2162683691698948
2021,15,1019.0,2.718260228138735,1.2624729148730445
2021,4,1245.0,2.7622983846643243,1.127830196725563
2024,11,1405.0,2.7677023566602577,0.9621554626048675
2021,8,1294.0,2.834309716586796,0.7086382057979799
2024,19,1031.0,2.863621176063702,1.1458638217248402
2024,4,876.0,2.9475335677862824,1.070958034134547
2021,20,1111.0,2.9665376210970966,1.4238628004352973
2023,1,1055.0,3.0037847522657213,1.1114615838331017
2023,17,1000.0,3.030406299067218,1.4051817270025002
2020,14,1075.0,3.09233141897304,1.7755667740167311
2022,13,1382.0,3.157235727521562,1.3894482705603401
2023,4,930.0,3.3096782937484743,1.3125879110176835
2022,1,1118.0,3.398394517515036,1.4769705002173021
2019,6,1489.0,3.3989136485599722,1.4064194465138147
2024,2,873.0,3.448519764728994,1.287671119985067
2023,2,924.0,3.465884061358341,1.501054230220527
2019,4,944.0,3.525627940786042,1.5475949940065896
2022,12,945.0,3.588828389060948,1.4384768383020152
2023,16,819.0,3.652272917905568,1.515147963221981
2022,8,872.0,3.700404559151234,1.6830858976671443
2023,19,1252.0,3.7677992533097213,1.438978797927176
2024,5,1007.0,3.773253628065347,1.7802572643885746
2019,15,1035.0,3.795923119838932,1.9793975570263085
2020,17,1020.0,3.869682477884565,1.4045140830746339
2020,9,726.0,3.871325056452504,1.7710380099269158
2023,21,861.0,3.934124900333232,1.8817067857924292
2020,11,1011.0,3.954478331278176,1.8091967690758541
2024,24,1033.0,3.969651050571044,1.4137290241665907
2024,9,1267.0,3.9885741871445446,2.1783117864687442
2024,21,1097.0,4.034801961184699,1.89564528014539
2019,14,990.0,4.096695659263188,1.8824359494620098
2022,21,1256.0,4.103912237566635,1.9391654982920346
2019,2,1080.0,4.113095466378899,1.5145915803874923
2022,19,918.0,4.146058644445046,1.6929290965037718
2022,2,772.0,4.147447886146079,1.794173836592404
2022,9,1262.0,4.198003014239215,1.8674811543390988
2023,10,966.0,4.203584403223098,1.737787289062973
2020,16,1531.0,4.241060759238296,2.0655258364797384
2022,5,1022.0,4.296803527496441,1.8933195753548588
2022,17,837.0,4.3909944180597655,2.826654175673251
2019,16,845.0,4.490144649769191,1.8985511825066885
2021,19,1360.0,4.507126441138799,2.326671254521349
2019,20,1379.0,4.556651022285506,2.2897003001408898
2023,8,1314.0,4.60981664632496,1.5492681633809122
2021,6,832.0,4.639623767925782,2.0465946644744584
2020,4,813.0,4.660376825764554,2.024896974136788
2021,21,731.0,4.680148305886992,2.8214368336294693
2019,10,912.0,4.709554058473236,1.9432574791124066
2019,5,1272.0,4.72340586037144,1.8719571333251
2022,16,968.0,4.874507110056027,2.2470385609435493
2021,14,856.0,4.943971857360704,2.1976675649558692
2021,12,20.0,5.010582051527436,3.902445047813707
2022,7,1153.0,5.084679142720706,2.2687897621145177
2020,15,958.0,5.098161299490396,2.376929352771392
2024,6,1106.0,5.166591387739114,2.024894424542414
2023,15,1062.0,5.190465750588401,2.0074588210542044
2024,3,995.0,5.199571026815044,2.256423342101484
2022,15,1388.0,5.287985433270659,2.332163352017151
2024,23,923.0,5.3505481016742165,2.463110752290214
